id;placed_date;status;code;invoice_id;customer
1;2022-09-06T16:36:44;COMPLETED;Electronics;57858;calculate
2;2022-09-06T15:20:34;CANCELLED;one-to-one Corporate;74608;Steel
3;2022-09-06T06:48:01;CANCELLED;cross-platform Health;12251;real-time
4;2022-09-06T09:34:46;CANCELLED;Hat;10576;Square revolutionize
5;2022-09-06T16:38:15;CANCELLED;implement Implementation;23738;Bike
6;2022-09-06T07:49:36;CANCELLED;Industrial Checking Right-sized;52549;models
7;2022-09-06T08:01:44;PENDING;Implemented;30578;Home
8;2022-09-06T12:00:45;CANCELLED;Handmade Automotive Principal;60178;success Liaison Riel
9;2022-09-06T16:48:31;COMPLETED;National Program;95175;neural hacking
10;2022-09-06T16:41:31;COMPLETED;hack Shirt Walks;57700;full-range back
